Name,Phone Number,Tags
Havmor Ice Cream,+919999822402,"Ice Cream, Desserts"
Haldii,+919818880093,"North Indian, South Indian"
Sweet Slice,+918800778066,"Desserts, Ice Cream, Shake"
Bangla Sweet House,+911123362257,"Mithai, Street Food, North Indian"
Dilli Meri Jaan,+919625434609,"North Indian, Chinese, Fast Food, Rolls"
Dou Chi,+919625434609,"Chinese, Asian, Momos, Seafood"
Meette Atelier Patisser,+919354677592,"Bakery, Desserts"
Diyansh Food Home,+917838683928,North Indian
BOMBAY GOLA & FALOODA,+919693688073,"Desserts, Shake, Beverages"
Chidambaram's New Madras Hotel,+911124611726,"South Indian, Chinese"
The Cottage Cafe By La Polo,+918130214666,"Cafe, Coffee, Fast Food, Italian, Pizza, Burger, Desserts, Tea"
Cold Love Ice Cream,+919711136997,"Ice Cream, Desserts, Coffee, Beverages"
Grover Mithaivala,+911146032300,"Mithai, Street Food, Desserts"
Havmor Ice Cream,+917703970109,Ice Cream
Creambell,+919599746218,"Ice Cream, Desserts"
Cafe Coffee Day,+917503770256,"Cafe, Bakery, Tea, Shake, Beverages, Sandwich, Desserts"
Standard Ice Cream Parlour,+919213737105,"Ice Cream, Desserts"
Natural Ice Cream,+911141009991,"Ice Cream, Shake"
Kulfi & Milkshakes Co.,+919716208886,"Ice Cream, Shake"
Kings Kulfi,+919899489489,"Ice Cream, Desserts"
Delhi Darbar Kitchen,+919811817491,"North Indian, Mughlai, Biryani, Chinese, Rolls, Street Food, Tea, Beverages"
Cafe Tesu,+919873704704,"Cafe, Beverages, Italian, Continental, Asian, Sushi, Desserts"
Delhi Juice And Shakes,+919792782448,"Juices, Shake"
Roshan Di Kulfi,+911128724230,"South Indian, North Indian, Street Food, Chinese, Desserts, Beverages"
Hariram Sweets,+917289888181,"Mithai, Street Food, South Indian"
Goswami Foods,+917827889809,"North Indian, Street Food, Desserts"
Burger House,+918882027726,"Burger, Fast Food, Desserts, Ice Cream, Beverages"
Swad-E-King,+919599338586,"North Indian, Chinese, Biryani, Shake, Desserts, Beverages"
Baskin Robbins - Ice Cream Desserts,+912250629185,"Ice Cream, Desserts, Beverages"
VarSikha's Bistro,+919354828563,"Waffle, Desserts, Sandwich, Street Food, Coffee, Beverages"
The Cake Empire,+918178025956,"Bakery, Desserts, Cake"
The New Shop,+918368769360,"North Indian, Burger, Sandwich, Street Food, Fast Food, Bakery, Ice Cream, Shake"
The Orange Twigs Cafe,+919354080351,"Pasta, Italian, Continental, Pizza, Panini, American, Salad"
Radhe Krishna Faluda & Kulfi Caterss,+916397654019,"Desserts, Ice Cream, Beverages"
Biryani 101,+919608821187,Biryani
Havmor Ice Cream,+919990287287,Ice Cream
The Belgian Waffle Co.,+919818851623,"Waffle, Ice Cream, Desserts, Beverages"
LunchBox - Meals and Thalis,+917304678007,"North Indian, Biryani, Mughlai"
