Name,Phone Number,Tags
Caspian,+911204235920,"North Indian, European, Asian, Pizza, Biryani, Chinese, , Beverages"
Burma Burma - Cyber Hub,+911244372999,"Burmese, Asian, Salad, Desserts, Bubble Tea, Beverages"
Plats,+918882155809,"European, Healthy Food, Fast Food, Desserts, Coffee, Beverages"
Brownie Point,+911140214140,"Bakery, Desserts, Cake"
Rahul Eggs,+919899830062,"Fast Food, Street Food, North Indian"
Wenger's,+919354134477,"Bakery, Fast Food, Desserts, Beverages"
Sakley's The Mountain Cafe,+919899996737,"Cafe, Coffee, Burger, Fast Food, Italian, Shake, Desserts, Beverages"
Cool Point Shahi Tukda,+919953833786,"Mithai, Desserts"
Kamala Sweets,+911126275476,Mithai
Juniper Bar - Andaz Delhi,+918588804222,"North Indian, European"
Roastery Coffee House,+919205112183,"Cafe, Coffee, Beverages"
Oh! Calcutta,+919310149806,"Bengali, North Indian, Seafood, Beverages"
The Monk,+919311550445,"Chinese, Thai, Asian"
Ministry Of Bhatura,+919910283083,"North Indian, Fast Food, Beverages"
Kofuku,+918068974650,"Japanese, Korean, Oriental, Asian, Rolls, Chinese, Sushi, Desserts"
Maxim’s Bakers & Confectioners - Since 1969,+911129238246,"Bakery, Desserts"
Doodle's Garden,+919999494048,"North Indian, Continental, Asian, Chinese, Salad, Biryani, Pizza, Desserts"
Dashi Dimsum & Sushi Bar,+911140767770,"Asian, Sushi, Japanese, Desserts"
Folks,+919990096293,"North Indian, Chinese, Continental, Finger Food, Healthy Food, Desserts, Beverages"
Mesa Lodhi,+919818298675,"European, Continental, Coffee, Desserts, Beverages"
Music & Mountains - Hillside Cafe & Cocktail Garden,+919873160659,"Italian, Continental, Fast Food, Salad, Desserts, Beverages, Shake"
The Piano Man Jazz Club,+911141315181,"Finger Food, Continental, Pizza"
Fat Butterfly Bakery And Cafe,+911244083555,"Bakery, Desserts, Fast Food"
Coast Cafe,+911141601717,"Continental, Seafood, Kerala, Mexican, Finger Food, Desserts, Coffee, Beverages"
OKO - A Pan Asian Destination - The Lalit New Delhi,+918130144460,"Japanese, Thai, Chinese, Desserts"
Bitters - Sandal Suites By Lemon Tree Hotels,+919818839320,"Finger Food, Beverages"
Yeti - The Himalayan Kitchen,+911244303846,"Tibetan, Asian, Momos, Nepalese, North Eastern, Shake, Beverages"
Evergreen Restaurant & Sweet House,+918130592401,"North Indian, Chinese, South Indian, Fast Food, Street Food, Mithai, Ice Cream, Beverages"
Utsav - Gourmet Cakes and Breads,+919811588728,"Bakery, Sandwich"
Gonzo - Pan Asian Kitchen,+919811926307,"Asian, Chinese, Japanese, Thai, Beverages, Coffee"
The Turkey Project - Pizzeria And Sangria Bar,+911140349066,"Cafe, Pizza, Italian, American, Beverages, Desserts"
Molecule Air Bar,+918743007171,"North Indian, Continental, Asian, Italian, Chinese, Bar Food, Desserts"
Oh! Pind,+917042248342,"North Indian, Mughlai, Kebab, Biryani, Chinese, Asian, Pizza, Beverages"
Kiyan - The Roseate,+919821055547,"Thai, European, North Indian, Pizza, Salad"
Cafe Delhi Heights IKIGAI,+917861854033,"Continental, Italian, Salad, Desserts"
Nomad Experience,+919773998926,"Pizza, Italian, Cafe, Pasta, Burger, Mexican, Beverages"
Evoo - Eatery And Pizzeria,+918368428737,"Cafe, Italian, Desserts, Beverages, Coffee"
Osteria - Authentic Italian Pizzeria,+918595893446,"Italian, Pizza, Desserts, Coffee, Cafe"
Ping's Café Orient,+919999447977,"Asian, Chinese, Thai, Seafood, Beverages"
DJ's Pizza & Pasta,+918860002912,"Pizza, Pasta, Italian"
Scruples Bar - The Pllazio Hotel,+919711878514,Bar Food
My Tea Chapel- Pinsa Pizza & Waffles,+918373930205,"Bubble Tea, Pizza, Waffle"
The Categorical Eat Pham,+911141812089,"North Eastern, Chinese, Naga, Beverages"
Idlinama - By Inventors of the Idli Grinder,+919315415530,"South Indian, Chettinad, Biryani"
Beer Food Feast Bar And Lounge,+919412246230,"North Indian, Continental, Finger Food, Chinese"
Mesa Kitchen And Bar,+916000689692,"European, Mexican, Pizza, Italian, Mediterranean, Salad, Pasta, Desserts"
Poiz,+918448080360,"North Indian, Continental, Italian, Chinese"
Wagh Bakri Tea Lounge,+919289422889,"Tea, Beverages, Fast Food, Street Food, Bakery, Desserts"
Shinchan Cafe,+919999100144,"Fast Food, Chinese, Rolls, Momos, Beverages"
FewBucks,+918800792935,"Chinese, North Indian, Fast Food, Sichuan"
38 Barracks,+919717304083,"North Indian, Biryani, Chinese, Kebab, Desserts, Beverages"
Cafe Athyeka 2.0,+919667351618,"Cafe, Coffee, South Indian, Desserts, Beverages"
Rolls Mania,+918377055222,"Rolls, Fast Food, North Indian, Beverages"
Soul Pantry - Andaz Delhi,+918588804222,"Coffee, Pizza, Healthy Food, Fast Food, Beverages"
Farmer's Basket,+919871666600,"North Indian, European, Continental, Mediterranean, Asian"
Dichhen House,+919953177553,"Nepalese, Chinese, Momos, Fast Food, Thai"
NutrioBox,+918447944979,"Healthy Food, Italian, Continental, Asian, Middle Eastern, Mexican, Desserts, Beverages"
Perch Wine & Coffee Bar,+917303999207,"Cafe, European, Beverages, Desserts, Coffee"
Kogai - Fine Japanese Dining,+918826419388,"Japanese, Sushi, Salad, Asian"
Miss Pinto,+919821161457,"European, Italian"
Rebound - Cafe Lounge & Bar,+917303785662,"North Indian, Continental, Italian, Chinese, Asian, Middle Eastern, Bar Food, Beverages"
Depot48,+919717450029,"Continental, Pizza, Pasta, Italian, Bar Food, Salad, Desserts"
Society Of Salad,+911143575252,"Healthy Food, Salad, Sandwich, Juices, Beverages, Wraps, Cafe, Continental"
Refections Cafe,+919717056689,"Continental, American, Coffee, Italian, Chinese, Oriental, Beverages, Desserts"
Cafe Delhi Heights,+919625954033,"North Indian, Italian, Burger, Continental, Pizza, Pasta, Asian, Desserts"
Ipizza,+919999470280,"Pizza, Fast Food, Burger, Sandwich"
Varq - The Taj Mahal Hotel,+911123026162,"North Indian, Seafood"
You Mee,+918826378738,"Asian, Japanese, Sushi, Chinese, Thai, Desserts, Beverages"
Comorin,+911244984224,"North Indian, Modern Indian, Finger Food, Bar Food, Desserts, Beverages"
Bruxie -The Original Fried Chicken & Waffle Sandwich,+911146536129,"Burger, Sandwich, Fast Food, Beverages, Waffle"
Mirage Nightclub & Air Bar,+9121195528,Bar Food
CHO Asian Terrace & Cocktail Bar,+919311902818,"Vietnamese, Asian, Sushi, Beverages"
Kuremal Mohan Lal Kulfi Wale,+919810540106,"Ice Cream, Desserts"
Maruchi,+919910425070,"Chinese, Asian, Pizza, Sushi, Japanese, Seafood, Pasta, Desserts"
Master Koii's,+919319615111,"Asian, Chinese, Thai, Malaysian, Korean, Indonesian, Oriental, Cantonese"
Al Qureshi's,+919310680186,"North Indian, Mughlai, Rolls"
The Cheesy Story,+919560622508,"Burger, Fast Food, Pizza, Bubble Tea, Tea, Coffee, Beverages"
Baa Bistro,+919911214567,"North Indian, Kebab, Chinese, Pasta, Desserts, Shake, Beverages"
Giani's Di Hatti,+911123936174,"North Indian, Desserts"
The Big Chill,+911141757075,"Italian, Pasta, Pizza, Salad, Waffle, Desserts, Ice Cream"
PDA,+911141637858,"Italian, Bar Food"
The Red Brick Room - The Westin Sohna Resort & Spa,+911247112233,"North Indian, Chinese, Salad, Oriental, Italian, Turkish, Desserts, Beverages"
Effingut,+917420017536,"Mexican, Continental, North Indian, Beverages, Japanese, Pizza, Desserts"
Jamie Oliver Kitchen,+919599180116,"Italian, Pizza, Burger, Bar Food"
Jacket Aloo,+918448822207,"Fast Food, Rolls, Burger, Pizza, Sandwich, Pasta, Beverages, Sichuan"
Fort City Brew Pub,+917428168833,"Middle Eastern, Mexican, North Indian, Fast Food, Continental, Pizza, Beverages"
Italiano Pizzeria,+919810222194,"Italian, Fast Food, Thai"
Rare Eastern Dining - Radisson Blu MBD Hotel,+919899870402,"Asian, Chinese, Ice Cream"
Sizzling Shack 24Hrs Bistro & Bar,+919873234732,"North Indian, Chinese, Asian, Desserts, Mughlai, Beverages, Kebab, Charcoal Chicken"
Food Bus Of India,+919899077797,"Pizza, Fast Food, North Indian, Burger, Beverages, Street Food"
Copper Moon,+918800012629,"Bar Food, North Indian, Italian, Asian, Continental, Biryani, Desserts, Beverages"
Ram Babu Ke Parathe,+918006575726,North Indian
,+918595009630,"Fast Food, Waffle, Beverages"
