Name,Phone Number,Tags
Red,+918527274562,Asian
Lord Of The Drinks Chamber,+919999109755,"Chinese, North Indian, Continental, Mughlai, Beverages"
You Mee,+918826378738,"Asian, Japanese, Sushi, Chinese, Thai, Desserts, Beverages"
The Yellow Chilli,+918750565056,"North Indian, Mughlai, Chinese, Seafood, Biryani, Salad, Desserts, Beverages"
Comorin,+911244984224,"North Indian, Modern Indian, Finger Food, Bar Food, Desserts, Beverages"
Yeti - The Himalayan Kitchen,+911244303846,"Tibetan, Asian, Momos, Nepalese, North Eastern, Shake, Beverages"
AB's - Absolute Barbecues,+917337383766,"North Indian, BBQ, Biryani"
Gonzo - Pan Asian Kitchen,+919811926307,"Asian, Chinese, Japanese, Thai, Beverages, Coffee"
Call Chotu - All Day Diner & Bar,+919910841526,"North Indian, Chinese, Thai, Street Food, Maharashtrian, Momos, Bakery, Ice Cream"
Chard - Burgers Grill And Bar,+918368569532,"Burger, Continental, Coffee, Ice Cream, Beverages"
Roesia,+919355885523,"Italian, Oriental, North Indian, Desserts, Asian, Continental, Mediterranean, "
The Turkey Project - Pizzeria And Sangria Bar,+911140349066,"Cafe, Pizza, Italian, American, Beverages, Desserts"
Kwality,+918800499928,"North Indian, BBQ, Mughlai, Finger Food, Desserts, Beverages"
Cyber Hub Social,+917838045182,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Korean, Beverages"
Loca,+919111009926,"Mediterranean, Continental, Italian, Bar Food, Pizza, Pasta, Desserts, Beverages"
Kiyan - The Roseate,+919821055547,"Thai, European, North Indian, Pizza, Salad"
Clock Tower,+919599199314,"Bar Food, North Indian, Asian, Pizza, Pasta, Continental, Beverages"
Bhawan,+918178539537,"Modern Indian, Bar Food, Mithai, North Indian, Desserts, Beverages"
Bira 91 Taproom,+911141010658,"Bar Food, Burger, Pasta, Italian, North Indian, Asian"
Maruchi,+919910425070,"Chinese, Asian, Pizza, Sushi, Japanese, Seafood, Pasta, Desserts"
The Monk,+919311550445,"Chinese, Thai, Asian"
Green Mantis - Authentic Pan Asian,+918448815375,"Asian, Chinese, Sushi, Desserts, Beverages"
Zaffran By Kasbah,+918588854072,"North Indian, Mughlai, Biryani"
Talli Station,+918800593966,"North Indian, Chinese, Biryani, Kebab, Mexican, Seafood, Beverages, Ice Cream"
Zura,+91 8068972845,"Continental, Italian, Asian, Turkish, Sushi, Desserts"
Sana - Di - Ge,+919560095974,"North Indian, South Indian, Goan, Mangalorean, Kerala, Desserts, Beverages"
Kogai - Fine Japanese Dining,+918826419388,"Japanese, Sushi, Salad, Asian"
Indian Accent,+919871117968,"Modern Indian, North Indian, Beverages"
Miss Pinto,+919821161457,"European, Italian"
Havemore,+917982685517,"North Indian, Mughlai, Biryani, Beverages"
64/6 - Country Inn & Suites By Radisson,+918800798288,"North Indian, Chinese, Thai, Continental"
Olive Bar & Kitchen,+919810235472,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts"
Nomad Experience,+919773998926,"Pizza, Italian, Cafe, Pasta, Burger, Mexican, Beverages"
The Salt Cafe Kitchen & Bar,+918130828293,"North Indian, Mughlai, Continental, Asian, Pizza, Pasta, Chinese, Salad"
Belisario,+918860608260,"Continental, European, Oriental, Italian, Asian, Desserts"
Mount Fuji Japanese Pan Asian Restaurant & Bar,+918100474746,"Japanese, Asian, Chinese, Thai, Sushi, Seafood, Desserts, Beverages"
The Big Chill,+911141757075,"Italian, Pasta, Pizza, Salad, Waffle, Desserts, Ice Cream"
House of Migo,+919911182245,"Italian, Burger, Pizza, Pasta, Beverages, Coffee, Desserts"
The Salt Cafe,+917840011183,"Continental, Chinese, North Indian, Modern Indian, Lebanese, Japanese, Mediterranean, Italian"
Effingut,+917420017536,"Mexican, Continental, North Indian, Beverages, Japanese, Pizza, Desserts"
Mesa Lodhi,+919818298675,"European, Continental, Coffee, Desserts, Beverages"
Pasta Street,+919266844027,"Italian, Pasta, Pizza, Continental, Salad, Healthy Food, Desserts, Beverages"
NAO - Next Asian Outing,+919971840750,"Korean, Asian, Chinese, Sushi, Desserts, Beverages"
Anardana,+919205600715,"North Indian, Mughlai, Biryani, Kebab, Chinese, Continental, Pizza, Desserts"
Music & Mountains - Hillside Cafe & Cocktail Garden,+919873160659,"Italian, Continental, Fast Food, Salad, Desserts, Beverages, Shake"
Colocal Indian Origin Chocolates,+919903987734,"Cafe, Salad, Continental, Italian, Pizza, Burger, Sandwich, Desserts"
VietNom,+919773802228,"Vietnamese, Asian, Healthy Food, Desserts, Beverages"
Bo Tai,+919870587770,"Thai, Japanese, Asian, Salad, Beverages"
Fort City Brew Pub,+917428168833,"Middle Eastern, Mexican, North Indian, Fast Food, Continental, Pizza, Beverages"
Cafe Lota,+917838960787,"Cafe, South Indian, North Indian, Beverages"
38 Barracks,+919717304083,"North Indian, Biryani, Chinese, Kebab, Desserts, Beverages"
Chili's Grill & Bar,+919650082466,"Mexican, Pizza, Pasta, American, Burger, Tex-Mex, Desserts"
Rooh,+917303600299,"Modern Indian, North Indian, Desserts, Beverages"
Roastery Coffee House,+918929649344,"Cafe, Continental, Burger, Pasta, Pizza, Salad, Desserts, Beverages"
House Of Wok Prive,+917042730202,"Asian, Sushi, Chinese, Thai, Japanese, Seafood"
Pa Pa Ya,+918068972836,"Asian, Chinese, Thai, Japanese, Sushi, Malaysian, Beverages"
Gulati,+911145614378,"North Indian, Mughlai, Biryani, Kebab, Desserts, Beverages"
